id,pretengrant_total,pretenpubR1,pretenpubR2,pretenpubR3,pretenpub_total3,tenurejobtop30,tenurejobtop50,tenurejobtop100,tenurejobtop200,tenurejobtop201,firstjobtop10,firstjobtop20,firstjobtop40,firstjobtop41_100,firstjobtop201,acadfirstjob,treat,phdyr,phd_forn,top10phd,top20phd,top40phd,tenure2,cohortc,reapplied,tensamp,tenstream,tenstreamtop,nonacadlastjob,firsttimec,yrsphd8,yrsphd9,yrsphd10,yrsphd11,yrsphd12,yrsphd13,yrsphd14,yrsphd15,yrsphd16
108,0,0,3,4,7,0,0,0,0,0,0,0,0,0,1,0,1,2003,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
109,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2003,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
110,0,0,0,11,11,0,0,0,0,0,0,0,0,0,1,1,0,1999,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
111,0,0,0,18,18,0,0,0,0,0,0,0,0,0,1,0,0,1999,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
112,0,1,9,10,20,0,0,0,0,0,1,0,0,0,0,1,1,2000,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
113,0,0,4,16,20,0,0,0,0,0,0,0,0,0,1,1,1,2001,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
115,0,0,0,7,7,0,1,1,1,0,0,0,1,0,0,1,1,2001,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
116,6,3,6,1,10,1,1,1,1,0,0,0,0,0,1,0,1,2002,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
117,0,0,3,1,4,0,0,0,0,0,1,0,0,0,0,1,1,2002,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
118,1,0,5,2,7,0,0,1,1,0,0,0,0,1,0,1,1,2003,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2001,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
120,0,0,7,2,9,0,0,0,1,0,0,0,0,0,0,1,1,1999,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
122,0,0,0,5,5,0,0,0,0,1,0,0,0,0,1,1,1,2000,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
123,0,0,3,3,6,0,0,0,0,0,1,0,0,0,0,1,0,1999,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
124,0,0,6,5,11,0,0,0,0,0,0,0,0,0,1,0,0,2001,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
126,1,1,1,4,6,0,0,0,0,1,0,0,0,0,0,1,0,2002,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
127,0,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,1,2003,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
128,1,0,3,9,12,0,0,0,0,0,0,0,0,0,1,1,1,2001,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
129,1,2,1,1,4,0,0,0,1,0,0,0,0,0,1,1,1,1999,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
130,1,0,6,4,10,0,0,0,1,0,0,0,0,0,0,1,0,2003,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
131,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,1,1,2000,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
132,0,0,5,11,16,1,1,1,1,0,0,0,1,0,0,1,1,1999,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
133,0,0,0,6,6,0,0,0,0,1,0,0,0,0,1,1,1,2002,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
134,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,2001,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
135,0,1,6,6,13,1,1,1,1,0,0,0,0,0,1,0,1,2001,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
136,0,0,0,4,4,0,0,0,1,0,0,0,1,0,0,1,0,2002,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
137,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2001,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
138,0,0,1,2,3,0,0,0,0,1,0,0,0,0,1,1,1,1998,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
139,2,5,5,6,16,0,0,0,0,0,1,0,0,0,0,1,1,2003,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
141,0,0,0,5,5,0,0,0,0,1,0,0,0,0,1,1,1,2000,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
142,0,0,5,2,7,1,1,1,1,0,1,0,0,0,0,1,1,2002,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
143,0,2,0,3,5,0,0,1,1,0,0,0,0,0,0,1,1,2003,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
144,0,0,0,9,9,0,1,1,1,0,0,0,0,0,0,1,1,2002,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
145,0,0,6,2,8,1,1,1,1,0,0,0,1,0,0,1,0,2006,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
147,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2004,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
148,3,3,7,2,12,1,1,1,1,0,0,1,0,0,0,1,1,2005,0,0,0,0,1,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2007,0,1,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
150,1,3,4,0,7,1,1,1,1,0,1,0,0,0,0,1,1,2007,0,1,0,0,1,3,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
151,0,1,5,3,9,0,0,0,0,0,1,0,0,0,0,1,1,2005,0,1,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
152,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2007,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
153,2,0,5,3,8,0,0,0,1,0,0,0,0,0,0,1,1,2005,0,0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
154,0,1,1,5,7,0,0,0,1,0,0,0,0,0,0,1,1,2006,0,0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
155,0,0,7,7,14,0,0,0,0,1,1,0,0,0,0,0,0,2006,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
156,0,0,3,4,7,0,0,0,1,0,0,0,0,0,0,1,0,2005,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
157,1,0,6,2,8,0,0,0,0,1,0,0,0,0,0,1,1,2002,0,0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
158,0,0,1,10,11,0,0,0,1,0,0,0,1,0,0,1,1,2004,0,0,0,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
159,0,1,3,1,5,0,1,1,1,0,0,1,0,0,0,1,1,2006,0,0,0,1,1,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
161,0,1,5,2,8,0,0,0,0,0,1,0,0,0,0,1,1,2006,0,1,0,0,0,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
162,0,0,0,6,6,0,0,0,0,1,0,0,0,0,1,1,1,2006,0,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
163,0,0,3,0,3,0,1,1,1,0,0,1,0,0,0,1,1,2002,0,0,0,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
